Base,Dirección,Colonia,m2,Clasif.,Antigüedad,Clasif.,Elev,Est,Rec,Bañ,"Interior 
Exteriror",Balcón,Roof privado/ Patio interior,m2 Roof privado/ Patio interior,Amenidades,Bodega,Cuarto de servicio,Jaula de tendido,Seguridad,Costo Mantenimiento,Precio de venta,Sin Estacionamiento,$/m2,$/m2 (-5%),$/m2 sin est,Link
CK Leads,Mitla 84,Narvarte Oriente,41,1,55,8,No,0,1,1,Interior,,,,No,,,,Sí,,"$1,730,000","$1,607,179","$42,195","$40,085","$39,199",
CK Leads,"Aniceto Ortega 836, depto 202",Del Valle Centro,41,1,50,7,No,1,1,2,Interior,No,,,No,No,,Sí,No,150,"$1,750,000","$1,627,179","$42,683","$40,549","$39,687",
CK Leads,Carracci 43,San Juan,42,1,49,7,,0,1,1,Interior ,,,,,,,,No,,"$1,200,000","$1,077,179","$28,571","$27,143","$25,647",
CK Leads,"manzanillo 33, depto 14-B",Roma Norte,42,1,41,7,No,0,1,1,Exterior,No,,,No,No,No,,Sí,500,"$2,200,000","$2,077,179","$52,381","$49,762","$49,457",
CK Leads,Veracruz 63,Condesa,44,1,0,1,Sí,1,1,1,Exterior,,,,Sí,,,,Sí,,"$2,850,000","$2,727,179","$64,773","$61,534","$61,981",
CK Leads,Veracruz 93,Condesa,45,1,15,4,Sí,1,1,1,Exterior,,,,Sí,,,,Sí,1200,"$2,990,000","$2,867,179","$66,444","$63,122","$63,715",
CK Leads,Holbein 185,Nochebuena,45,1,46,7,Sí,1,1,1,Exterior,,,,No,,,,Sí,500,"$2,100,000","$1,977,179","$46,667","$44,333","$43,937",
CK Leads,Holbein 185,Nochebuena,45,1,46,7,Sí,1,1,1,Exterior,,,,No,,,,Sí,500,"$2,100,000","$1,977,179","$46,667","$44,333","$43,937",
CK Leads,"E. Pestalozzi 14, depto 102",Piedad Narvarte,45,1,3,2,Sí,1,1,1,Interior,,,,,,,,Sí,1575,"$2,790,000","$2,667,179","$62,000","$58,900","$59,271",
CK Leads,"obrero mundial 606, departamento 11",Atenor Salas,45,1,73,8,No,0,1,1,Interior,,,,No,,,,Sí,700,"$1,580,000","$1,457,179","$35,111","$33,356","$32,382",
CK Leads,Hamburgo 9-402,Juarez,45,1,45,7,Sí,0,1,1,Exterior,No,,,No,No,No,,Sí,1500,"$2,400,000","$2,277,179","$53,333","$50,667","$50,604",
CK Leads,"la quemada 137, depto 2",Narvarte Oriente,45,1,0,1,No,0,1,1,Interior,,23,,No,No,Sí,,No,500,"$2,100,000","$1,977,179","$46,667","$44,333","$43,937",
CK Leads,Tajín 325,Narvarte Oriente,47,1,40,7,No,0,1,1,Exterior ,,,,No,,,,No,315,"$1,650,000","$1,527,179","$35,106","$33,351","$32,493",
CK Leads,Cerrada de Florida 45,Nochebuena,48,1,10,3,Sí,1,1,1,Interior,No,,,No,No,,,Sí,1000,"$2,570,000","$2,447,179","$54,105","$51,400","$51,520",
CK Leads,"manzanillo 33, depto 15",Roma Norte,48,1,41,7,No,0,1,1,Exterior ,No,,,No,No,No,,Sí,500,"$2,200,000","$2,077,179","$45,833","$43,542","$43,275",
CK Leads,Dr. Liceaga 179,Doctores,49,1,14,4,No,1,2,1,Interior,,,,No,,,,Sí,,"$1,700,000","$1,577,179","$34,694","$32,959","$32,187",
CK Leads,Lago Patzcuaro 37,Anahuac I Seccion,50,1,11,4,Sí,1,2,1,Interior,,,,No,,,,Sí,450,"$1,800,000","$1,677,179","$36,000","$34,200","$33,544",
CK Leads,Xochicalco 273,Narvarte Poniente,50,1,50,7,No,1,1,1,Interior,Sí,,,Sí,No,No,,No,800,"$2,100,000","$1,977,179","$42,000","$39,900","$39,544",
CK Leads,Londres 190,Juarez,51,1,50,7,No,0,2,1,Exterior,,,,No,,,,Sí,,"$1,900,000","$1,777,179","$37,255","$35,392","$34,847",
CK Leads,Av 3 #77,San Pedro de los Pinos,51,1,30,6,No,1,2,1,Exterior,,,,No,,,,No,300,"$2,500,000","$2,377,179","$49,020","$46,569","$46,611",
CK Leads,Cda. De Nicolás San Juan 24,Del Valle Norte,51,1,46,7,No,0,1,1,,,,,No,,,,,,"$2,200,000","$2,077,179","$43,137","$40,980","$40,729",
CK Leads,Av. Tres,San Pedro de los Pinos,51,1,33,7,No,1,2,1,Exterior ,No,,,No,No,,,Sí,300,"$2,350,000","$2,227,179","$46,078","$43,775","$43,670",
CK Leads,Tajin 291,Narvarte Oriente,52,1,8,3,No,0,1,1,Interior,,,,Sí,,,,,,"$2,100,000","$1,977,179","$40,385","$38,365","$38,023",
CK Leads,Juan de la Barrera 28,Niños Heroes de Chapultepec,52,1,8,3,Sí,1,2,1,Exterior ,No,,,No,No,,,Sí,750,"$1,850,000","$1,727,179","$35,577","$33,798","$33,215",
CK Leads,Amsterdam 274,Hipodromo Condesa,52,1,83,8,No,0,1,1,,,,,No,,,,,,"$3,986,000","$3,863,179","$75,996","$72,196","$73,655",
CK Leads,Veracruz 21,Condesa,53,1,0,1,No,0,1,1,Interior,,,,No,,,,,,"$3,500,000","$3,377,179","$66,038","$62,736","$63,720",
CK Leads,Monte Alban 115,Narvarte Oriente,53,1,40,7,No,1,2,1,Interior,No,,,No,No,Sí,,No,500,"$1,750,000","$1,627,179","$33,019","$31,368","$30,701",
CK Leads,Lago espejo 4 PB7,Granada,54,1,30,6,Sí,0,2,2,Exterior,,,,No,,,,Sí,900,"$1,950,000","$1,827,179","$36,111","$34,306","$33,837",
CK Leads,"alhambra 402, depto 402",Portales Norte,45,1,40,7,No,0,1,1,Interior,,Si,5,No,No,Sí,No,No,,"$1,150,000","$1,027,179","$25,556","$24,278","$22,826",
CK Leads,Hamburgo 263,Juarez,54,1,40,7,Sí,1,1,1,Interior,,,,No,,,,Sí,900,"$2,650,000","$2,527,179","$49,074","$46,620","$46,800",
CK Leads,bucareli 136,Juarez,54,1,5,2,Sí,1,2,2,Interior,,,,Sí,,,,Sí,1350,"$2,650,000","$2,527,179","$49,074","$46,620","$46,800",
